Bank,Income Before Tax,Total Asset,Net Income,Common Equity,Total Operational Income,Total Operational Expense
BNBA,70829,7607654,51168,1478862,675827,598287
BCIC,49299,17311597,49495,1428754,1658789,1647231
DNAR,-12050,5108848,-16920,1381614,409710,418810
BACA,23949,18959622,15884,1285712,1736280,1703528
AGRS,-259120,6421844,-248836,1274479,560068,681767
BMAS,80440,7569580,59747,1181154,632876,549609
BGTG,14526,4809743,11841,1102938,437619,420683
BSWD,10621,3896760,9880,1065041,353036,333794
AMAR,81507,3452515,61427,1037429,779662,695034
BBYB,17859,5123734,16003,906884,715121,695389
ARTO,-118795,1321057,-121966,662112,58019,149742
BBSI,29696,953737,22262,459594,81775,52469